Loading pretrained word embeddings.
Loading pretrained word embeddings.
mm_batchgen...
Loading images...
Loading images takes: 7.33s

(10000, 32, 32, 3) (2000, 32, 32, 3)
Loading text...
Loading text takes: 10.07s

25000 25000
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
Step 222, 2-0, mm Loss: 0.198793, Accuracy:  56.250000 %
Step 223, 2-2, mm Loss: 0.066615, Accuracy:  62.500000 %
Step 224, 0-2, mm Loss: 0.211932, Accuracy:  56.250000 %
Step 225, 0-1, mm Loss: 0.286641, Accuracy:  43.750000 %
Step 226, 1-0, mm Loss: 0.257669, Accuracy:  56.250000 %
Step 227, 1-1, mm Loss: 0.198669, Accuracy:  75.000000 %
Step 228, 2-1, mm Loss: 0.126855, Accuracy:  81.250000 %
Step 229, 1-2, mm Loss: 0.135756, Accuracy:  68.750000 %
Step 230, 2-0, mm Loss: 0.182582, Accuracy:  68.750000 %
Step 231, 2-2, mm Loss: 0.066756, Accuracy:  68.750000 %
Step 232, 0-2, mm Loss: 0.216298, Accuracy:  37.500000 %
Step 233, 0-1, mm Loss: 0.285170, Accuracy:  50.000000 %
Step 234, 1-0, mm Loss: 0.303260, Accuracy:  37.500000 %
Step 235, 1-1, mm Loss: 0.205980, Accuracy:  50.000000 %
Step 236, 2-1, mm Loss: 0.134902, Accuracy:  50.000000 %
Step 237, 1-2, mm Loss: 0.130641, Accuracy:  75.000000 %
Step 238, 2-0, mm Loss: 0.215905, Accuracy:  62.500000 %
Step 239, 2-2, mm Loss: 0.067096, Accuracy:  62.500000 %
Step 240, 0-2, mm Loss: 0.212784, Accuracy:  56.250000 %
Step 241, 0-1, mm Loss: 0.284197, Accuracy:  43.750000 %
Step 242, 1-0, mm Loss: 0.271664, Accuracy:  56.250000 %
Step 243, 1-1, mm Loss: 0.185762, Accuracy:  62.500000 %
Step 244, 2-1, mm Loss: 0.129375, Accuracy:  75.000000 %
Step 245, 1-2, mm Loss: 0.129769, Accuracy:  56.250000 %
Step 246, 2-0, mm Loss: 0.209578, Accuracy:  37.500000 %
Step 247, 2-2, mm Loss: 0.064681, Accuracy:  56.250000 %
Step 248, 0-2, mm Loss: 0.205474, Accuracy:  56.250000 %
Step 249, 0-1, mm Loss: 0.288052, Accuracy:  37.500000 %
Step 250, 1-0, mm Loss: 0.248451, Accuracy:  68.750000 %
Step 251, 1-1, mm Loss: 0.184965, Accuracy:  68.750000 %
Step 252, 2-1, mm Loss: 0.146627, Accuracy:  43.750000 %
Step 253, 1-2, mm Loss: 0.144800, Accuracy:  43.750000 %
Step 254, 2-0, mm Loss: 0.193470, Accuracy:  68.750000 %
Step 255, 2-2, mm Loss: 0.062590, Accuracy:  68.750000 %
Step 256, 0-2, mm Loss: 0.215123, Accuracy:  43.750000 %
Step 257, 0-1, mm Loss: 0.280925, Accuracy:  37.500000 %
Step 258, 1-0, mm Loss: 0.250108, Accuracy:  68.750000 %
Step 259, 1-1, mm Loss: 0.200825, Accuracy:  50.000000 %
Step 260, 2-1, mm Loss: 0.133183, Accuracy:  62.500000 %
Step 261, 1-2, mm Loss: 0.136703, Accuracy:  62.500000 %
Step 262, 2-0, mm Loss: 0.203286, Accuracy:  50.000000 %
Step 263, 2-2, mm Loss: 0.064744, Accuracy:  68.750000 %
Step 264, 0-2, mm Loss: 0.211858, Accuracy:  56.250000 %
Step 265, 0-1, mm Loss: 0.278154, Accuracy:  50.000000 %
Step 266, 1-0, mm Loss: 0.291264, Accuracy:  43.750000 %
Step 267, 1-1, mm Loss: 0.217366, Accuracy:  43.750000 %
Step 268, 2-1, mm Loss: 0.125707, Accuracy:  68.750000 %
Step 269, 1-2, mm Loss: 0.129839, Accuracy:  62.500000 %
Step 270, 2-0, mm Loss: 0.202588, Accuracy:  62.500000 %
Step 271, 2-2, mm Loss: 0.066325, Accuracy:  62.500000 %
Step 272, 0-2, mm Loss: 0.211580, Accuracy:  56.250000 %
Step 273, 0-1, mm Loss: 0.315317, Accuracy:  31.250000 %
Step 274, 1-0, mm Loss: 0.249499, Accuracy:  75.000000 %
Step 275, 1-1, mm Loss: 0.194087, Accuracy:  75.000000 %
Step 276, 2-1, mm Loss: 0.127350, Accuracy:  62.500000 %
Step 277, 1-2, mm Loss: 0.127303, Accuracy:  81.250000 %
Step 278, 2-0, mm Loss: 0.200479, Accuracy:  56.250000 %
Step 279, 2-2, mm Loss: 0.062278, Accuracy:  81.250000 %
Step 280, 0-2, mm Loss: 0.228962, Accuracy:  31.250000 %
Step 281, 0-1, mm Loss: 0.286783, Accuracy:  43.750000 %
Step 282, 1-0, mm Loss: 0.289877, Accuracy:  56.250000 %
Step 283, 1-1, mm Loss: 0.194063, Accuracy:  56.250000 %
Step 284, 2-1, mm Loss: 0.117240, Accuracy:  81.250000 %
Step 285, 1-2, mm Loss: 0.122677, Accuracy:  75.000000 %
Step 286, 2-0, mm Loss: 0.210264, Accuracy:  43.750000 %
Step 287, 2-2, mm Loss: 0.062881, Accuracy:  68.750000 %
Step 288, 0-2, mm Loss: 0.200419, Accuracy:  56.250000 %
Step 289, 0-1, mm Loss: 0.276075, Accuracy:  50.000000 %
Step 290, 1-0, mm Loss: 0.249165, Accuracy:  68.750000 %
Step 291, 1-1, mm Loss: 0.187477, Accuracy:  62.500000 %
Step 292, 2-1, mm Loss: 0.130442, Accuracy:  56.250000 %
Step 293, 1-2, mm Loss: 0.129987, Accuracy:  50.000000 %
Step 294, 2-0, mm Loss: 0.206641, Accuracy:  37.500000 %
Step 295, 2-2, mm Loss: 0.070315, Accuracy:  43.750000 %
Step 296, 0-2, mm Loss: 0.200320, Accuracy:  62.500000 %
Step 297, 0-1, mm Loss: 0.270126, Accuracy:  56.250000 %
Step 298, 1-0, mm Loss: 0.242249, Accuracy:  75.000000 %
Step 299, 1-1, mm Loss: 0.206321, Accuracy:  62.500000 %
Step 300, 2-1, mm Loss: 0.123661, Accuracy:  68.750000 %
Step 301, 1-2, mm Loss: 0.136863, Accuracy:  50.000000 %
Step 302, 2-0, mm Loss: 0.193327, Accuracy:  56.250000 %
Step 303, 2-2, mm Loss: 0.062602, Accuracy:  62.500000 %
Step 304, 0-2, mm Loss: 0.208160, Accuracy:  50.000000 %
Step 305, 0-1, mm Loss: 0.280754, Accuracy:  50.000000 %
Step 306, 1-0, mm Loss: 0.296259, Accuracy:  50.000000 %
Step 307, 1-1, mm Loss: 0.186583, Accuracy:  81.250000 %
